@relation 0706

@attribute JenisKelamin {Pria,Wanita}
@attribute IPK {CumLaude,Memuaskan,DiBawah275,SangatMemuaskan}
@attribute Psikologi {Baik,CukupBaik,SangatBaik}
@attribute IQ {VerySuperior,Superior,BelowAverage,Genius,AboveAverage,Average,Borderline}
@attribute StatusKerja {BekerjadanWiraswasta,MelanjutkanStudi,Bekerja,TidakBekerja,Wirausaha}
@attribute KategoriPerusahaan {Nasional,Lainnya,Lokal,Multinasional}
@attribute KesesuaianKerjadanKuliah {TidakSesuai,Sesuai}
@attribute Jabatan {Staf,LainnyaTidakBekerja,Pemilik,Magang,Manajer,Direktur}
@attribute Gaji {SangatTinggi,Nol,Tinggi,Sedang,Rendah,SangatRendah}
@attribute Bonus {Besar,TidakAdaBonus,Sedang,Kecil}
@attribute KepuasanKerja {Puas,TidakPuas}
@attribute KetepatanWaktuLulus {TepatWaktu,TidakTepatWaktu}
@attribute KeaktifanOrganisasi {Aktif,TidakAktif,KurangAktif,CukupAktif}
@attribute StatusLulus {Lulus,TidakLulus}

@data
Pria,CumLaude,Baik,VerySuperior,BekerjadanWiraswasta,Nasional,TidakSesuai,Staf,SangatTinggi,Besar,Puas,TepatWaktu,Aktif,Lulus
Pria,Memuaskan,Baik,Superior,MelanjutkanStudi,Lainnya,TidakSesuai,LainnyaTidakBekerja,Nol,TidakAdaBonus,Puas,TepatWaktu,TidakAktif,Lulus
Pria,Memuaskan,Baik,VerySuperior,BekerjadanWiraswasta,Nasional,TidakSesuai,Staf,Tinggi,Besar,TidakPuas,TepatWaktu,Aktif,Lulus
Pria,Memuaskan,Baik,VerySuperior,MelanjutkanStudi,Lainnya,TidakSesuai,LainnyaTidakBekerja,Nol,TidakAdaBonus,Puas,TepatWaktu,TidakAktif,Lulus
Pria,Memuaskan,Baik,BelowAverage,Bekerja,Nasional,Sesuai,Staf,Sedang,Besar,TidakPuas,TepatWaktu,KurangAktif,Lulus
Pria,DiBawah275,CukupBaik,Genius,TidakBekerja,Lainnya,TidakSesuai,LainnyaTidakBekerja,Rendah,Sedang,TidakPuas,TidakTepatWaktu,KurangAktif,TidakLulus
Pria,Memuaskan,CukupBaik,AboveAverage,BekerjadanWiraswasta,Nasional,TidakSesuai,Staf,Sedang,Sedang,TidakPuas,TidakTepatWaktu,KurangAktif,TidakLulus
Pria,DiBawah275,Baik,Superior,BekerjadanWiraswasta,Nasional,TidakSesuai,Pemilik,Tinggi,Sedang,TidakPuas,TidakTepatWaktu,KurangAktif,TidakLulus
Pria,SangatMemuaskan,Baik,VerySuperior,Bekerja,Lainnya,Sesuai,Pemilik,Tinggi,Sedang,Puas,TidakTepatWaktu,Aktif,TidakLulus
Pria,CumLaude,CukupBaik,Genius,Wirausaha,Nasional,Sesuai,Staf,Sedang,Sedang,Puas,TidakTepatWaktu,Aktif,TidakLulus
Pria,DiBawah275,CukupBaik,VerySuperior,Bekerja,Lokal,TidakSesuai,Magang,Tinggi,Besar,Puas,TidakTepatWaktu,TidakAktif,TidakLulus
Pria,Memuaskan,CukupBaik,Genius,Bekerja,Nasional,Sesuai,Magang,Sedang,Sedang,TidakPuas,TidakTepatWaktu,KurangAktif,TidakLulus
Pria,Memuaskan,CukupBaik,VerySuperior,BekerjadanWiraswasta,Nasional,TidakSesuai,Magang,Sedang,Sedang,TidakPuas,TidakTepatWaktu,CukupAktif,TidakLulus
Pria,SangatMemuaskan,Baik,Superior,Bekerja,Nasional,Sesuai,Staf,Tinggi,TidakAdaBonus,TidakPuas,TepatWaktu,CukupAktif,Lulus
Wanita,Memuaskan,Baik,Superior,Bekerja,Multinasional,TidakSesuai,Staf,Tinggi,TidakAdaBonus,TidakPuas,TepatWaktu,TidakAktif,Lulus
Pria,DiBawah275,Baik,Average,Bekerja,Multinasional,TidakSesuai,Staf,Sedang,TidakAdaBonus,TidakPuas,TidakTepatWaktu,CukupAktif,Lulus
Pria,Memuaskan,Baik,Average,Bekerja,Multinasional,TidakSesuai,Manajer,Sedang,Besar,TidakPuas,TepatWaktu,Aktif,Lulus
Pria,Memuaskan,Baik,Average,Bekerja,Nasional,Sesuai,Staf,Tinggi,TidakAdaBonus,Puas,TidakTepatWaktu,Aktif,Lulus
Pria,SangatMemuaskan,Baik,AboveAverage,MelanjutkanStudi,Lainnya,TidakSesuai,LainnyaTidakBekerja,Nol,TidakAdaBonus,Puas,TepatWaktu,TidakAktif,Lulus
Pria,SangatMemuaskan,Baik,Average,Bekerja,Nasional,Sesuai,Staf,Tinggi,Besar,Puas,TidakTepatWaktu,KurangAktif,Lulus
Wanita,SangatMemuaskan,Baik,Average,Bekerja,Lokal,Sesuai,Staf,SangatTinggi,TidakAdaBonus,TidakPuas,TepatWaktu,CukupAktif,Lulus
Wanita,Memuaskan,Baik,Superior,Bekerja,Multinasional,Sesuai,Staf,Tinggi,TidakAdaBonus,TidakPuas,TepatWaktu,Aktif,Lulus
Pria,Memuaskan,Baik,AboveAverage,Bekerja,Nasional,Sesuai,Staf,Tinggi,TidakAdaBonus,TidakPuas,TepatWaktu,CukupAktif,Lulus
Pria,Memuaskan,Baik,Average,Wirausaha,Nasional,TidakSesuai,Direktur,Sedang,TidakAdaBonus,TidakPuas,TidakTepatWaktu,Aktif,Lulus
Pria,Memuaskan,Baik,Average,Bekerja,Nasional,Sesuai,Staf,Tinggi,Sedang,TidakPuas,TepatWaktu,TidakAktif,Lulus
Pria,CumLaude,Baik,Average,MelanjutkanStudi,Lainnya,TidakSesuai,LainnyaTidakBekerja,Nol,TidakAdaBonus,Puas,TepatWaktu,TidakAktif,Lulus
